area_type,availability,location,bhk,society,sqft,bath,balcony,price
Built-up  Area,18-May,KR Puram,2,SancyRe,1075,2,2,32.25
Super built-up  Area,18-May,Hosa Road,2,,1079,2,1,32.37
Super built-up  Area,18-May,Hosa Road,2,SStusan,1079,2,1,32.37
Plot  Area,18-Nov,Chandapura,2,,1200,1,1,36
Plot  Area,18-Nov,Chandapura,2,,1200,2,1,36
Plot  Area,Ready To Move,Anekal,4,,1200,2,1,36
Plot  Area,18-Nov,Chandapura,2,,1200,2,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Super built-up  Area,18-Aug,Ananth Nagar,2,,1200,2,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Plot  Area,19-Jan,Anekal,2,,1200,1,1,36
Super built-up  Area,18-Aug,Hennur Road,2,DSeldpr,1200,2,1,36
Super built-up  Area,Ready To Move,Kereguddadahalli,3,DSdorSp,1300,2,2,39
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,39.9
Super built-up  Area,Ready To Move,Kereguddadahalli,3,DSdorSp,1400,2,2,42
Plot  Area,Ready To Move,Suryanagar,2,,1500,2,1,45
Super built-up  Area,Ready To Move,R.T. Nagar,2,,1500,2,2,45
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1530,2,1,45.9
Super built-up  Area,19-Dec,Electronic City Phase II,3,DSineSt,1611,2,2,48.33
Super built-up  Area,19-Dec,Electronic City Phase II,3,DSineSt,1625,2,2,48.75
Super built-up  Area,Ready To Move,KR Puram,3,DSise S,1930,2,2,57.9
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3,Pantsce,2300,2,,69
Super built-up  Area,Ready To Move,Vimanapura,3,Inion P,2500,3,3,75
Super built-up  Area,Ready To Move,Attur Layout,6,,3000,8,,90
